,Symbol,PE,EPSGrowth,RevenueGrowth,logMarketCap,PS,Sector,Sharpe,std,LiquidityRate,CorWithBenchMark
0,A,28.44725661136933,0.19696969696969704,0.06425511661113756,10,4.684263398991466,Healthcare,2.6754401046418748,0.16465508517161265,0.5207623977138043,0.43704197335039624
0,AA,17.960133346608313,2.4096057997281375,0.2504829362524147,10,0.9451705693814033,Basic Materials,2.3296364725880347,0.37282198046342635,1.4361339405017726,0.3460855646701405
0,AACG,-7.536466929282709,-0.0,0.03741303642635968,8,0.3290821527073208,Consumer Defensive,0.3436380208334802,0.5022400780720514,0.036839360115482445,0.1455237216058803
0,AAIC,5.175438680146869,-0.17090909090909082,10.125367863449087,8,5.071730807225041,Real Estate,-1.100026561401753,0.19940481127745532,1.3963488137786686,0.24152741340072048
0,AAL,10.679592210419322,-0.14035087719298242,0.05044798407167745,10,0.7930004475002616,Industrials,0.4316990029891494,0.2866768064033853,0.8254484399587362,0.43979752885350387
0,AAMC,-12.679864262380132,0.8965019302743641,-0.09159121604722124,8,9.478576663947955,Financial Services,0.8229434338873544,0.6557226055869233,0.2781489248234476,0.11884855532817092
0,AAME,-88.71794969607623,-1.8883826879271068,0.0905423387946555,7,0.37720282561708723,Financial Services,-0.35191369283212115,0.48515209338302084,0.017248190521827297,-0.0377114571093345
0,AAOI,8.19956599502398,2.4402985074626873,0.4664746291899522,9,2.74632977737886,Technology,0.7347047563494843,0.8673271698248015,14.20603097214814,0.04306821091090755
0,AAON,35.87378714848491,0.06185567010309284,0.05535487802654847,9,5.01847025700915,Industrials,0.39682309774028446,0.25313508440064075,0.24571703554497787,0.44701641408646076
0,AAP,18.75464712376931,-0.24649859943977576,-0.020265625550355524,9,0.7196926212947713,Consumer Cyclical,-1.0269585899715978,0.4047394465925219,2.8298711386161934,0.13881042962772458
0,AAPL,17.488181260237344,0.1652694610778444,0.06304518199398068,11,3.2111313012186984,Technology,2.5911268424430385,0.17636929282406075,0.5547681489659694,0.40548554605852166
0,AAT,20.052355621497668,0.03243243243243246,0.06742056606842704,9,7.171707126197158,Real Estate,-0.6880190436036006,0.1620945590198635,0.4397973838858446,0.18107967957708965
0,AAWW,11.934826573140752,0.10585585585585601,0.17222676118582733,9,0.7597257407534714,Industrials,0.44218686288710174,0.3114755703369246,0.9470712334278503,0.48655954209625935
0,AB,10.89130401611328,0.19791666666666685,-0.02922440045281947,9,11.18191122740423,Financial Services,0.22663217683511105,0.18346928260473616,0.29394137686735045,0.2790307241278536
0,ABB,26.165049284407235,0.11956521739130446,0.014307674116116826,10,1.5765125487527591,Industrials,1.7930621442006092,0.14519200670102936,0.08477199856952188,0.46590618763748526
0,ABBV,17.377459640366446,0.15975103734439824,0.10055386535611202,11,6.055178704024323,Healthcare,3.094374339336815,0.17760986244140567,0.2615506001360144,0.24901467652100137
0,ABC,15.156250250966925,0.06479859894921193,0.04286110628796305,10,0.12520761312552722,Healthcare,0.44224482520812436,0.2520949824414402,0.7933507456079916,0.19032918817156097
0,ABCB,19.477911646586342,0.08260869565217409,0.13194043887147336,9,9.20947934649544,Financial Services,0.39586511825830084,0.26012604250294713,0.2751158874804341,0.4929104016677237
0,ABEO,-24.090908512924656,0.03125000000000003,-0.05849268841394826,9,1964.0314460892566,Healthcare,2.8469886979882975,0.7622088833114381,0.48876129452608275,0.08981331693550805
0,ABEV,28.534031247177257,-0.010789814415192068,0.05037059778079909,11,2.123155537260923,Consumer Defensive,1.1041331336528772,0.24830492965674322,0.11984577144254283,0.20796379714556495
0,ABG,9.968992721202762,0.05911330049261074,-0.010922516008456142,9,0.19127530312433072,Consumer Cyclical,0.08416701788825393,0.28514732495172984,1.1782935036570996,0.25336679438448645
0,ABM,21.634286063058035,0.005747126436781486,0.06004237370497794,9,0.46331015360038164,Industrials,-0.30849764895574655,0.24470250949042865,0.5683133517369962,0.33414519984349145
0,ABMD,94.45225669385104,0.8614953271028036,0.351277375031483,9,19.7590056384687,Healthcare,2.7633370157550177,0.2417158486115342,0.547943036970217,0.28714848026445705
0,ABR,7.714286020823888,0.3493975903614455,0.5914542370819257,9,4.928210762611461,Real Estate,0.830426024596453,0.16119235890506592,0.22293936121054536,0.18647595164416625
0,ABST,-64.74999785423279,-0.3660855784469097,0.027163091524015245,8,2.8341384101858633,Technology,0.4717264569412195,0.3278616782866654,0.008501332282760262,-0.08956041490276856
0,ABT,23.280000305175783,0.13636363636363627,0.31348007480937995,11,3.853537838042892,Healthcare,3.329609688234592,0.13859272738854067,0.2991594856932753,0.3494382935201443
0,ABTX,24.21524614802085,-0.10800000000000003,0.12763044104929375,8,6.909609122231698,Financial Services,0.21048838076913504,0.23853712067262708,0.16679715876207563,0.505075918559431
0,ABUS,-3.2299741602067185,-0.7859306072213849,6.176391683433937,8,46.2256235503265,Healthcare,1.6723732869374477,0.6099117250083753,0.22437658878662675,0.045339638452222226
0,AC,-980.6873200606213,-0.8301517376407246,-0.138085631024434,8,27.069430037863796,Financial Services,0.04904776294808404,0.24199769653834285,0.08230504694746353,0.3428105886953803
0,ACAD,-12.931914633892951,0.004273504273504182,6.206797068836189,9,39.71510130021543,Healthcare,0.10743654855886442,0.4335237862615361,1.0777017549548003,0.23266762695737409
0,ACB,-4297.499974568683,-0.9389002036659877,11.55288267463181,10,1177.4338346322982,Healthcare,4.8805807297480595,0.6733863855826588,0.018126555874712205,-0.03956565357272556
0,ACBI,32.685184478759766,0.0,0.026164666067368197,8,3.716236260980787,Financial Services,-0.31221533204130697,0.22030638070999595,0.4360488890907382,0.39553603486072614
