,ticker,min_1,max_1,var_1,max_1_peroids,buyHold_1,maxDrawBack
0,A,-0.33621191837747155,-0.045040085441978794,6.318015409793986,"(11, 140)",-1.6019013058237608,13.808617338945279
0,AAL,-0.28604624028174386,0.09879992092139434,9.119529657466368,"(5, 50)",-38.67762463263584,11.76127935240558
0,AAP,-0.04295741338576886,0.4209850478235999,11.629514338613971,"(3, 80)",54.658077989953235,8.799882092190826
0,AAPL,0.022847961091882363,0.29740946191965545,5.858871158822012,"(3, 60)",-6.8347464930163415,8.690860016298167
0,ABB,-0.09116866609170216,0.09662336596137933,3.0665434989352813,"(1, 180)",-29.536180951681303,2.5526207024049814
0,ABBV,-0.29435468155328026,0.01302858690323383,7.651803150662288,"(9, 90)",-5.703109893284298,8.639181387086984
0,ABC,-0.2765815328914658,0.08272382544376167,7.007828076447416,"(7, 160)",-19.598486043341424,6.8265770486998
0,ABEV,0.0,0.2466055158247964,7.24574572948917,"(11, 70)",-40.825689478099534,5.047382229817477
0,ABMD,-0.4331643481764722,0.1980375184682197,15.188140252619833,"(11, 110)",70.2546002656439,23.02408050206825
0,ABT,-0.25245698814186257,0.13362543514257696,5.9335612425721225,"(15, 80)",22.97250645467088,9.05472574469965
0,ACAD,-0.300362023438987,0.05528132608369307,6.750417041405083,"(17, 70)",-48.3382687575409,13.075855349452127
0,ACC,-0.1473862257063474,0.013683456929953985,3.616357956318538,"(7, 80)",0.024309071902628432,6.533109450656037
0,ACGL,-0.0972063693691314,0.1075211057293668,3.4124478120635025,"(19, 60)",-13.200309935262023,4.168784676544112
0,ACH,-0.041887997436523605,0.10020270284016908,2.7867056070922085,"(13, 60)",-57.54666646321615,8.671571129613378
0,ACM,-0.1638085645163484,0.09347098832839529,4.781257505159779,"(11, 70)",-29.64649075947312,9.086378025748164
0,ACN,-0.11279338625432644,0.09075835684611655,4.361026551761093,"(9, 80)",-8.534205930629069,8.545371558741948
0,ADBE,-0.17690072268607382,0.13380600088194705,5.740134989945579,"(7, 140)",28.26840473682777,9.810101934913476
0,ADI,-0.34650156943762245,0.07588299428949563,8.485380763717771,"(3, 120)",-3.5298090556743156,8.742914346556423
0,ADM,-0.059656745575544456,0.2056814733537231,3.9677164420177093,"(5, 70)",1.5920382524929,4.792441751244481
0,ADP,-0.1176780575638906,0.2195501819929191,6.994353392213243,"(15, 80)",12.10894010132899,10.413759172458484
0,ADSK,-0.2981678965148715,0.04648942821111679,7.241135433184763,"(9, 90)",22.64097867159012,16.2257442377179
0,ADT,-0.17663236932060533,0.14752568474948813,5.969006783961101,"(19, 70)",-51.38339698952527,5.829393127245329
0,AEE,-0.11825709986118205,0.09898275385571909,2.8766660134806905,"(17, 60)",10.308575896145022,7.616450950184912
0,AEG,-0.16733842034735535,0.18497637778719755,7.190609370630748,"(7, 160)",-27.244095197724093,3.5927799902687605
0,AEM,-0.08800077525285199,0.14274158763640798,4.136094317886717,"(13, 80)",-12.760921345820563,5.843315423298406
0,AEP,-0.1280049112532945,0.06925387378387615,3.22278842265341,"(3, 110)",2.1863876297468776,5.800538133084159
0,AER,0.10148937261853175,0.22087770068829782,2.155630406165216,"(3, 70)",-24.3920978371304,4.367909186333278
0,AES,-0.06092000707842182,0.20504136463689582,4.960727941250957,"(3, 50)",33.026680684304765,6.819356411752802
0,AFG,-0.027198670573413297,0.14047517510972618,3.985784237378499,"(3, 50)",-17.895794448345136,4.478404903981893
0,AFL,-0.19789508494652086,-0.011534629040984345,4.584438407854036,"(7, 170)",2.150295962827675,5.339499395068526
0,AGCO,-0.4647250164408304,0.034907459492396375,8.925985197262966,"(17, 80)",-23.612078158032602,7.9540953581251825
0,AGNC,-0.056041438231230534,0.038973341837635234,2.2339203063018576,"(3, 130)",-12.537023133427317,1.7214624076478657
0,AGR,-0.11123892004020419,0.021122667574119403,2.6553934437293596,"(13, 100)",-1.930272864684346,5.100546654694205
0,AIG,-0.26084339777628607,0.14018670654296872,6.533475879952586,"(11, 110)",-35.53333282470703,4.1014995212323075
0,AIV,-0.22712011777665164,0.03814126043038746,5.337212410872212,"(7, 100)",-0.6165810955208628,7.512397366763687
0,AIZ,-0.1302148580048168,0.1548777055619368,4.534922825624626,"(7, 90)",-12.628159384546144,6.101083320859802
0,AJG,-0.23270173911180003,0.047562558484771866,5.233076049726134,"(3, 120)",14.366642293822206,5.930513542960781
0,AKAM,-0.25988017176154,0.12742515245025632,7.564836513678432,"(9, 100)",-5.865186613264417,8.566175505753852
0,ALB,-0.2067912964894255,0.022965953477319,4.452683536186634,"(15, 100)",-40.277666660828096,14.197857073583274
0,ALGN,0.014244639220221567,0.6488200118870635,14.335054291911423,"(1, 80)",-5.714029552054023,7.908276625439412
0,ALK,-0.35729859259105823,-0.0049162008294854065,7.484352224029481,"(3, 160)",-18.233387132723333,10.685814523110487
0,ALL,-0.034841925205541746,0.1489594310775071,3.073444283980001,"(11, 50)",-20.97626779578089,3.0210376871674423
0,ALLE,-0.2248181813417618,0.12842509648701972,7.021733715112771,"(1, 80)",-1.5361600619727467,6.881264540136497
0,ALLY,-0.15471680076640548,0.08360123335411451,5.235640013873219,"(3, 180)",-23.702949560426955,4.380493060445527
0,ALNY,-0.40353637637075757,0.1601620723032542,12.162190423483796,"(1, 170)",-44.638406436468884,7.022727122391836
0,ALV,-0.1598677392189728,0.22633835227131138,10.49561461320914,"(19, 110)",-23.475491360395186,6.661965721139336
0,AMAT,-0.1702863266871878,0.2568111109257565,5.7123249804320855,"(17, 70)",-36.70665849203424,6.809608577635015
